timestamp_utc,model,verifier_mode,logit_fusion,logit_blend,chat_template,correct,total,accuracy,case,expected,selected_answer,selected_extracted,is_correct,margin,yes_score,no_score,candidate_count,source_file,source_mode,source_correct
2026-05-20T20:43:55.209401+00:00,mlx-community/Qwen3-1.7B-4bit,hrm,agreement_blend,0.2,True,6,17,0.35294117647058826,algebra,12.5|25/2,to simplify and solve the equation first distribute the 7 in the equation. 7 multiplied by x - 3 is 7x - 21. then the equation becomes 7x - 21 + 2x = 5x + 29. next combine like terms. 7x + 2x is 9x so the equation is 9x - 21 = 5x + 29. now ,to simplify and solve the equation first distribute the 7 in the equation. 7 multiplied by x - 3 is 7x - 21. then the equation becomes 7x - 21 + 2x = 5x + 29. next combine like terms. 7x + 2x is 9x so the equation is 9x - 21 = 5x + 29. now,False,13.5625,-12.15992546081543,-25.72242546081543,4,exact_qwen3_1_7b_hrm.csv,hrm,False
2026-05-20T20:43:56.042535+00:00,mlx-community/Qwen3-1.7B-4bit,hrm,agreement_blend,0.2,True,6,17,0.35294117647058826,markup,96|$96,Final answer,Final answer,False,9.8125,-17.000934600830078,-26.813434600830078,3,exact_qwen3_1_7b_base.csv,base,False
2026-05-20T20:43:56.827842+00:00,mlx-community/Qwen3-1.7B-4bit,hrm,agreement_blend,0.2,True,6,17,0.35294117647058826,boxes,mixed|Mixed,"To determine which box to open, we need to figure out the correct labels based on the information given. Since all the labels are wrong, we can use the fact that the Mixed box is the only one that could have both apples and oranges. If we t","To determine which box to open, we need to figure out the correct labels based on the information given. Since all the labels are wrong, we can use the fact that the Mixed box is the only one that could have both apples and oranges. If we t",True,8.5625,-18.7506103515625,-27.3131103515625,3,exact_qwen3_1_7b_base.csv,base,True
2026-05-20T20:43:57.414639+00:00,mlx-community/Qwen3-1.7B-4bit,hrm,agreement_blend,0.2,True,6,17,0.35294117647058826,inclusion,80,"So, the final answer","So, the final answer",False,14.78125,-13.876354217529297,-28.657604217529297,3,exact_qwen3_1_7b_base.csv,base,False
2026-05-20T20:43:57.784285+00:00,mlx-community/Qwen3-1.7B-4bit,hrm,agreement_blend,0.2,True,6,17,0.35294117647058826,modular,6,"Now, according to Fermat's Little Theorem, 7^12 ≡ 1 (mod 1","Now, according to Fermat's Little Theorem, 7^12 ≡ 1 (mod 1",False,5.8125,-9.824752807617188,-15.637252807617188,2,exact_qwen3_1_7b_hrm.csv,hrm,False
2026-05-20T20:43:58.555057+00:00,mlx-community/Qwen3-1.7B-4bit,hrm,agreement_blend,0.2,True,6,17,0.35294117647058826,work_rate,3.75|15/4,"Alice's rate is 1/6 jobs per hour, and Bob's rate is 1/10 jobs per hour. Together, their rate is 1/6 + 1/10 = 8/30 = 4/15 jobs per hour. So, time = 1 / (4/15) = 15/4 = 3.75 hours. So, 3 hours and 45 minutes. But","Alice's rate is 1/6 jobs per hour, and Bob's rate is 1/10 jobs per hour. Together, their rate is 1/6 + 1/10 = 8/30 = 4/15 jobs per hour. So, time = 1 / (4/15) = 15/4 = 3.75 hours. So, 3 hours and 45 minutes. But",False,15.5,-11.390602111816406,-26.890602111816406,3,exact_qwen3_1_7b_base.csv,base,False
2026-05-20T20:43:59.018184+00:00,mlx-community/Qwen3-1.7B-4bit,hrm,agreement_blend,0.2,True,6,17,0.35294117647058826,probability,1/9,\boxed{\dfrac{1}{9}}.,\dfrac{1}{9},True,9.0,-9.43205451965332,-18.43205451965332,3,exact_qwen3_1_7b_base.csv,base,True
2026-05-20T20:43:59.232975+00:00,mlx-community/Qwen3-1.7B-4bit,hrm,agreement_blend,0.2,True,6,17,0.35294117647058826,sequence,67,67,67,True,9.4375,-17.253986358642578,-26.691486358642578,1,exact_qwen3_1_7b_base.csv,base,True
2026-05-20T20:44:00.757848+00:00,mlx-community/Qwen3-1.7B-4bit,hrm,agreement_blend,0.2,True,6,17,0.35294117647058826,linear_word,11,let me break it down. let the number be x. when it's doubled it becomes 2x. then it's increased by 9 so the equation is 2x + 9 = 31. to find x i need to solve this equation. subtract 9 from both sides: 2x = 22. then divide by 2: x = 11. so ,let me break it down. let the number be x. when it's doubled it becomes 2x. then it's increased by 9 so the equation is 2x + 9 = 31. to find x i need to solve this equation. subtract 9 from both sides: 2x = 22. then divide by 2: x = 11. so,False,18.953125,-14.129703521728516,-33.082828521728516,5,exact_qwen3_1_7b_base.csv,base,False
2026-05-20T20:44:01.066851+00:00,mlx-community/Qwen3-1.7B-4bit,hrm,agreement_blend,0.2,True,6,17,0.35294117647058826,reverse_discount,80|$80,80,80,True,-1.375,-22.01122283935547,-20.63622283935547,2,exact_qwen3_1_7b_base.csv,base,True
2026-05-20T20:44:01.929538+00:00,mlx-community/Qwen3-1.7B-4bit,hrm,agreement_blend,0.2,True,6,17,0.35294117647058826,multiples,12,"1. Numbers divisible by 4 less than 100: The first positive number divisible by 4 is 4, and the last one is 96 (since 96 is the largest number less than 1","1. Numbers divisible by 4 less than 100: The first positive number divisible by 4 is 4, and the last one is 96 (since 96 is the largest number less than 1",False,11.25,-11.26852035522461,-22.51852035522461,4,exact_qwen3_1_7b_hrm.csv,hrm,False
2026-05-20T20:44:02.237366+00:00,mlx-community/Qwen3-1.7B-4bit,hrm,agreement_blend,0.2,True,6,17,0.35294117647058826,rectangle,10,12.5,12.5,False,13.90625,-14.628242492675781,-28.53449249267578,2,exact_qwen3_1_7b_base.csv,base,False
2026-05-20T20:44:03.478345+00:00,mlx-community/Qwen3-1.7B-4bit,hrm,agreement_blend,0.2,True,6,17,0.35294117647058826,average,12,the average of five numbers is 12 so the total sum of the numbers is 12 multiplied by 5 which is 60. the sum of the four known numbers is 10 + 11 + 13 + 14. let's calculate that: 10 + 11 is 21 13 + 14 is 27 and 21 + 27 is 48. the fifth numb,the average of five numbers is 12 so the total sum of the numbers is 12 multiplied by 5 which is 60. the sum of the four known numbers is 10 + 11 + 13 + 14. let's calculate that: 10 + 11 is 21 13 + 14 is 27 and 21 + 27 is 48. the fifth numb,True,16.09375,-14.158966064453125,-30.252716064453125,4,exact_qwen3_1_7b_base.csv,base,True
2026-05-20T20:44:04.561284+00:00,mlx-community/Qwen3-1.7B-4bit,hrm,agreement_blend,0.2,True,6,17,0.35294117647058826,combinations,15,the number of ways to choose 2 items from 6 distinct items is calculated using combinations. the formula for combinations is c n k = n! / k! * n - k ! where n is the total number of items and k is the number of items to choose. plugging in ,the number of ways to choose 2 items from 6 distinct items is calculated using combinations. the formula for combinations is c n k = n! / k! * n - k ! where n is the total number of items and k is the number of items to choose. plugging in,False,17.96875,-14.87784194946289,-32.84659194946289,5,exact_qwen3_1_7b_hrm.csv,hrm,False
2026-05-20T20:44:05.168139+00:00,mlx-community/Qwen3-1.7B-4bit,hrm,agreement_blend,0.2,True,6,17,0.35294117647058826,coins,3/8,3/8. the final answer is 3/8. final answer: 3/8,3/8,True,16.625,-13.750659942626953,-30.375659942626953,3,exact_qwen3_1_7b_hrm.csv,hrm,True
2026-05-20T20:44:06.265965+00:00,mlx-community/Qwen3-1.7B-4bit,hrm,agreement_blend,0.2,True,6,17,0.35294117647058826,modular_small,2,"Now, we need to find 5^4 mod 7. Since 5^6 ≡ 1 mod","Now, we need to find 5^4 mod 7. Since 5^6 ≡ 1 mod",False,11.4375,-9.976724624633789,-21.41422462463379,4,exact_qwen3_1_7b_base.csv,base,False
2026-05-20T20:44:06.794760+00:00,mlx-community/Qwen3-1.7B-4bit,hrm,agreement_blend,0.2,True,6,17,0.35294117647058826,syllogism,yes,Let me think. If,Let me think. If,False,17.875,-16.876502990722656,-34.751502990722656,3,exact_qwen3_1_7b_base.csv,base,False
